2025-11-13 16:03:38,415 | data.data_loader | WARNING | Scaler for columns ['Open', 'High', 'Low', 'Volume', 'SMA_20', 'SMA_50', 'EMA_12', 'EMA_26', 'RSI_14', 'MACD', 'MACD_Signal', 'Bollinger_Middle', 'Bollinger_Upper', 'Bollinger_Lower', 'Stochastic_%K', 'Stochastic_%D', 'Close_lag_1', 'Close_lag_5', 'Close_lag_10', 'Close_lag_21', 'RollingMean_5', 'RollingStd_5', 'RollingMin_5', 'RollingMax_5', 'RollingMean_10', 'RollingStd_10', 'RollingMin_10', 'RollingMax_10', 'RollingMean_21', 'RollingStd_21', 'RollingMin_21', 'RollingMax_21', 'RollingMean_63', 'RollingStd_63', 'RollingMin_63', 'RollingMax_63', 'VolumeMean_5', 'VolumeStd_5', 'OnBalanceVolume_5', 'VolumeMean_10', 'VolumeStd_10', 'OnBalanceVolume_10', 'VolumeMean_21', 'VolumeStd_21', 'OnBalanceVolume_21', 'VolumeMean_63', 'VolumeStd_63', 'OnBalanceVolume_63'] not found. Skipping.
2025-11-13 16:03:38,440 | models.lstm_model | INFO | Training LSTM for horizon 1 days
2025-11-13 16:05:21,180 | models.lstm_model | INFO | Training LSTM for horizon 5 days
2025-11-13 16:07:15,480 | models.lstm_model | INFO | Training LSTM for horizon 30 days
2025-11-13 16:09:03,853 | tensorflow | WARNING | 5 out of the last 9 calls to <function TensorFlowTrainer.make_predict_function.<locals>.one_step_on_data_distributed at 0x000002006D792020> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
2025-11-13 16:09:04,466 | tensorflow | WARNING | 6 out of the last 11 calls to <function TensorFlowTrainer.make_predict_function.<locals>.one_step_on_data_distributed at 0x000002006D792020> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
2025-11-13 16:09:05,890 | models.arima_model | INFO | ADF statistic=-0.672, p-value=0.8538
2025-11-13 16:25:49,024 | data.data_loader | INFO | Loading AAPL from cache
2025-11-13 16:25:49,175 | data.data_loader | INFO | Loading MSFT from cache
2025-11-13 16:25:49,186 | data.data_loader | INFO | Loading GOOGL from cache
